Town,sq_mtrs,Bedrooms,Bathrooms,Price
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,80.0,1.0,1.0,65000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,3.0,3.0,2.0,70000.0
Dagoretti,3.0,3.0,4.0,100000.0
Dagoretti,3.0,3.0,4.0,110000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,4.0,100000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,2.0,2.0,1.0,60000.0
Dagoretti,220.0,3.0,3.0,110000.0
Dagoretti,3.0,3.0,2.0,70000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,3.0,3.0,2.0,70000.0
Dagoretti,3.0,3.0,2.0,65000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,2500.0,3.0,3.0,110000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,3.0,3.0,2.0,110000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,2.0,2.0,2.0,67000.0
Dagoretti,3.0,3.0,3.0,110000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,110000.0
Dagoretti,3.0,3.0,2.0,65000.0
Dagoretti,3.0,3.0,2.0,65000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,3.0,3.0,4.0,100000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,1.0,1.0,2.0,65000.0
Dagoretti,2.0,2.0,1.0,65000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,85.0,2.0,2.0,70000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,150.0,3.0,4.0,110000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,2.0,2.0,2.0,55000.0
Dagoretti,3.0,3.0,3.0,55000.0
Dagoretti,2.0,2.0,2.0,65000.0
Dagoretti,3.0,3.0,4.0,100000.0
Dagoretti,260.0,3.0,4.0,100000.0
Dagoretti,2.0,2.0,2.0,60000.0
Dagoretti,1.0,1.0,1.0,100000.0
Dagoretti,2.0,2.0,3.0,100000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,1.0,1.0,1.0,100000.0
